game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
1,2012,1,DG,97,WF,137,Regular Season,Regular Season
2,2012,1,LB,94,OB,104,Regular Season,Regular Season
3,2012,1,ML,92,NN,98,Regular Season,Regular Season
4,2012,1,PD,98,DK,123,Regular Season,Regular Season
5,2012,1,CN,89,CD,60,Regular Season,Regular Season
6,2012,2,PD,107,LB,97,Regular Season,Regular Season
7,2012,2,WF,97,DK,143,Regular Season,Regular Season
8,2012,2,CN,77,NN,136,Regular Season,Regular Season
9,2012,2,ML,79,OB,109,Regular Season,Regular Season
10,2012,2,DG,72,CD,75,Regular Season,Regular Season
11,2012,3,CD,75,ML,120,Regular Season,Regular Season
12,2012,3,PD,97,DG,75,Regular Season,Regular Season
13,2012,3,OB,100,NN,106,Regular Season,Regular Season
14,2012,3,WF,129,CN,67,Regular Season,Regular Season
15,2012,3,DK,78,LB,88,Regular Season,Regular Season
16,2012,4,DG,97,LB,77,Regular Season,Regular Season
17,2012,4,CD,102,OB,108,Regular Season,Regular Season
18,2012,4,CN,85,ML,148,Regular Season,Regular Season
19,2012,4,WF,132,PD,102,Regular Season,Regular Season
20,2012,4,DK,127,NN,117,Regular Season,Regular Season
21,2012,5,LB,66,WF,141,Regular Season,Regular Season
22,2012,5,NN,78,CD,78,Regular Season,Regular Season
23,2012,5,DG,77,DK,109,Regular Season,Regular Season
24,2012,5,ML,159,PD,86,Regular Season,Regular Season
25,2012,5,CN,56,OB,104,Regular Season,Regular Season
26,2012,6,CD,101,WF,104,Regular Season,Regular Season
27,2012,6,OB,78,DG,95,Regular Season,Regular Season
28,2012,6,PD,77,NN,96,Regular Season,Regular Season
29,2012,6,DK,77,CN,103,Regular Season,Regular Season
30,2012,6,ML,106,LB,77,Regular Season,Regular Season
31,2012,7,ML,75,DG,84,Regular Season,Regular Season
32,2012,7,DK,104,CD,114,Regular Season,Regular Season
33,2012,7,CN,113,PD,89,Regular Season,Regular Season
34,2012,7,WF,93,OB,26,Regular Season,Regular Season
35,2012,7,NN,107,LB,46,Regular Season,Regular Season
36,2012,8,NN,114,DG,90,Regular Season,Regular Season
37,2012,8,LB,70,CN,53,Regular Season,Regular Season
38,2012,8,ML,68,WF,132,Regular Season,Regular Season
39,2012,8,OB,98,DK,99,Regular Season,Regular Season
40,2012,8,PD,55,CD,68,Regular Season,Regular Season
41,2012,9,DG,82,CN,70,Regular Season,Regular Season
42,2012,9,WF,94,NN,101,Regular Season,Regular Season
43,2012,9,CD,106,LB,110,Regular Season,Regular Season
44,2012,9,ML,128,DK,88,Regular Season,Regular Season
45,2012,9,PD,50,OB,99,Regular Season,Regular Season
46,2012,10,WF,117,DK,101,Regular Season,Regular Season
47,2012,10,CN,121,NN,86,Regular Season,Regular Season
48,2012,10,LB,95,PD,99,Regular Season,Regular Season
49,2012,10,OB,110,ML,56,Regular Season,Regular Season
50,2012,10,CD,104,DG,64,Regular Season,Regular Season
51,2012,11,LB,81,DG,109,Regular Season,Regular Season
52,2012,11,ML,59,CN,70,Regular Season,Regular Season
53,2012,11,PD,59,WF,90,Regular Season,Regular Season
54,2012,11,DK,102,NN,112,Regular Season,Regular Season
55,2012,11,CD,108,OB,71,Regular Season,Regular Season
